company,fortune_2025_rank,screening_bucket,source_url,verified_location
UnitedHealth,3,has_atlanta_metro_office,https://www.uhcprovider.com/en/contact-us.html,"2100 RiverEdge Pkwy, Suite 400, Atlanta, GA 30328"
American Express,58,has_atlanta_office,https://www.americanexpress.com/en-us/careers/locations/atlanta/,Midtown Atlanta
Lockheed Martin,59,has_atlanta_metro_office,https://www.lockheedmartin.com/en-us/careers/locations/marietta-georgia.html,Marietta GA campus
Delta Airlines,70,has_atlanta_office,https://business.delta.com/get-to-know-us/about-delta-business/network-and-partners/atlanta,"1030 Delta Boulevard, Atlanta, GA 30354"
Capital One,82,has_atlanta_office,https://www.capitalonecareers.com/atlanta,"675 Ponce De Leon Ave NE, Atlanta, GA 30308"
Cisco Systems,83,has_atlanta_office,https://www.cisco.com/site/us/en/about/contact-cisco/office-locations.html,"756 W Peachtree St NW, Atlanta, GA 30308"
Travelers,99,has_atlanta_office,https://careers.travelers.com/2024/05/02/travelers-tech-atlanta/,Coda in Midtown Atlanta
